Time[s],xPosition1[m],yPosition1[m],absPosition1[m],Angle1[rad],xVelocity1[m/s],yVelocity1[m/s],absVelocity81[m/s],AngularVelocity1[rad/s]
24.375,0.00017402500000000002,0.000144312,0.000226076,,2.0814e-07,-4.6633e-07,5.1067e-07,
24.5,0.00017435,0.000144291,0.000226314,,-6.2779e-08,-4.6036e-07,4.6462e-07,
24.625,0.000173799,0.00014454700000000002,0.000226053,,-1.0815e-07,-3.1831e-07,3.3618e-07,
24.75,0.000173608,0.0001447,0.00022600400000000003,,-8.5517e-08,-2.5996e-07,2.7367e-07,
24.875,0.00017285800000000002,0.000143452,0.00022463,,-1.8421e-07,-2.7368e-07,3.299e-07,
25.0,0.000172928,0.000143432,0.00022467100000000002,,-2.242e-07,-1.5204e-07,2.7089e-07,
25.125,0.00017288200000000002,0.000143261,0.000224526,,-1.2888e-07,9.6197e-08,1.6082e-07,
25.25,0.000172794,0.000143353,0.000224517,,-1.3884e-07,2.6623e-07,3.0026e-07,
25.375,0.000172652,0.000143961,0.000224796,,-1.9185e-07,3.2331e-07,3.7595e-07,
25.5,0.000173764,0.000144865,0.00022622900000000002,,-1.6107e-07,3.1114e-07,3.5036e-07,
25.625,0.000174121,0.000144691,0.000226392,,-1.8466e-07,3.469e-07,3.9298e-07,
25.75,0.00017404600000000002,0.000144206,0.000226025,,-2.1012e-07,4.6124e-07,5.0684e-07,
25.875,0.000173716,0.00014426,0.000225806,,-2.699e-07,4.7816e-07,5.4907e-07,
26.0,0.000173797,0.000144748,0.00022618,,-1.4664e-07,4.0714e-07,4.3274e-07,
26.125,0.000172866,0.000144699,0.000225434,,-3.1182e-08,1.9088e-07,1.9341e-07,
26.25,0.000172593,0.00014432600000000001,0.000224985,,7.505e-08,-3.7721e-08,8.3996e-08,
26.375,0.00017243600000000001,0.000144005,0.000224659,,1.5954e-08,-1.6241e-07,1.6319e-07,
26.5,0.00017252,0.00014391200000000003,0.00022466400000000002,,1.8981e-07,-1.7489e-08,1.9062e-07,
26.625,0.000172547,0.000144039,0.000224766,,2.7208e-07,1.2052e-07,2.9758e-07,
26.75,0.00017308000000000002,0.000144883,0.000225717,,1.9679e-07,6.4851e-08,2.072e-07,
26.875,0.000173947,0.000144671,0.000226247,,1.3461e-07,-5.922e-08,1.4706e-07,
27.0,0.000174107,0.000144318,0.00022614300000000002,,1.2824e-07,-7.207e-08,1.4711e-07,
27.125,0.000174336,0.00014430100000000003,0.000226309,,-5.4218e-08,-5.205e-08,7.5159e-08,
27.25,0.000173892,0.000144262,0.000225942,,-2.4464e-07,3.0235e-08,2.4651e-07,
27.375,0.00017396300000000001,0.00014462,0.00022622600000000003,,-2.638e-07,7.009e-08,2.7295e-07,
27.5,0.000173126,0.00014474899999999998,0.00022566600000000002,,-3.2229e-07,-2.7225e-08,3.2344e-07,
27.625,0.00017228099999999999,0.000144343,0.00022475700000000002,,-3.6987e-07,-1.3983e-07,3.9542e-07,
27.75,0.000172473,0.000143959,0.000224657,,-3.2429e-07,2.349e-08,3.2514e-07,
27.875,0.000172481,0.00014391399999999998,0.000224635,,-2.1122e-07,1.7346e-07,2.7332e-07,
28.0,0.000172476,0.000144016,0.00022469700000000002,,-1.8757e-07,1.7805e-07,2.5862e-07,
28.125,0.000172692,0.000144656,0.000225273,,-4.3584e-08,7.874e-08,8.9997e-08,
28.25,0.00017374300000000002,0.00014485700000000003,0.000226209,,-5.3745e-08,-4.7566e-08,7.1771e-08,
28.375,0.000173637,0.0001444,0.000225834,,-1.4691e-08,-1.1519e-07,1.1612e-07,
28.5,0.00017382,0.00014424799999999998,0.000225878,,-1.6857e-07,-1.1117e-07,2.0193e-07,
28.625,0.00017385800000000001,0.000144693,0.000226192,,-4.3321e-07,-7.3567e-08,4.3941e-07,
28.75,0.000173316,0.000144841,0.00022587,,-4.7837e-07,-2.471e-08,4.7901e-07,
28.875,0.000172597,0.000144542,0.000225127,,-5.034e-07,-2.0222e-07,5.425e-07,
29.0,0.00017272,0.000144074,0.00022492100000000002,,-5.9296e-07,-3.7125e-07,6.9959e-07,
29.125,0.000172226,0.000143951,0.000224463,,-5.7153e-07,-3.5772e-07,6.7425e-07,
29.25,0.000172153,0.000143791,0.000224305,,-4.5843e-07,-1.8634e-07,4.9485e-07,
29.375,0.00017188600000000003,0.000143883,0.000224159,,-4.258e-07,-1.1047e-07,4.399e-07,
29.5,0.000172121,0.000144391,0.000224665,,-3.8404e-07,-1.2638e-07,4.043e-07,
29.625,0.000172977,0.00014489399999999999,0.00022564400000000002,,-2.1274e-07,-9.5386e-08,2.3314e-07,
29.75,0.00017313999999999999,0.000143946,0.000225163,,-1.2397e-07,7.9318e-09,1.2422e-07,
29.875,0.000172917,0.00014387700000000002,0.000224946,,-8.9903e-08,1.083e-07,1.4075e-07,
30.0,0.000173288,0.000144039,0.000225335,,1.9771e-08,2.0706e-07,2.08e-07,
30.125,0.00017263,0.00014451,0.000225132,,2.2366e-07,2.6999e-07,3.506e-07,
30.25,0.000172191,0.00014450499999999999,0.000224792,,3.6205e-07,2.1623e-07,4.2171e-07,
30.375,0.00017182,0.00014423500000000002,0.000224334,,3.9363e-07,1.2995e-07,4.1453e-07,
30.5,0.000172139,0.000143959,0.000224401,,4.9512e-07,1.6992e-07,5.2347e-07,
30.625,0.0001721,0.000144047,0.00022442799999999999,,6.7272e-07,3.7929e-07,7.7228e-07,
30.75,0.000172475,0.00014426,0.000224852,,5.5385e-07,2.7981e-07,6.2052e-07,
30.875,0.00017269399999999998,0.000144747,0.000225333,,3.7007e-07,7.6687e-08,3.7793e-07,
31.0,0.00017372699999999999,0.000144804,0.000226162,,2.6272e-07,-1.5864e-07,3.069e-07,
31.125,0.000173697,0.000144525,0.000225961,,4.7843e-08,-2.4374e-07,2.484e-07,
31.25,0.00017368800000000002,0.000144363,0.00022585,,-2.6113e-07,-2.6086e-07,3.691e-07,
31.375,0.000174027,0.000144482,0.000226186,,-6.2511e-07,-2.3582e-07,6.6812e-07,
31.5,0.000173701,0.00014476700000000002,0.000226119,,-7.438e-07,-2.1263e-07,7.736e-07,
31.625,0.000172136,0.000144288,0.00022461,,-9.2718e-07,-3.1591e-07,9.7952e-07,
31.75,0.000171923,0.000143897,0.00022419600000000002,,-9.9239e-07,-4.1677e-07,1.0764e-06,
31.875,0.00017173900000000002,0.000143554,0.000223835,,-1.0296e-06,-3.7192e-07,1.0947e-06,
32.0,0.000171732,0.000143698,0.00022392200000000002,,-9.0991e-07,-1.5409e-07,9.2287e-07,
32.125,0.000171635,0.000143927,0.000223995,,-8.7356e-07,-4.8702e-08,8.7492e-07,
32.25,0.000171705,0.000144365,0.000224329,,-7.4536e-07,-9.2338e-08,7.5106e-07,
32.375,0.000172551,0.00014468800000000002,0.000225185,,-4.7226e-07,-1.1885e-07,4.8698e-07,
32.5,0.00017233000000000003,0.00014406,0.000224613,,-1.4479e-07,-4.3638e-08,1.5122e-07,
32.625,0.000172525,0.000143831,0.00022461600000000002,,-1.1026e-07,-4.7221e-08,1.1994e-07,
32.75,0.00017242199999999998,0.00014394100000000002,0.000224607,,-5.1049e-08,7.6268e-08,9.1776e-08,
32.875,0.000171988,0.00014462600000000002,0.000224714,,9.8565e-08,-6.3548e-09,9.8769e-08,
33.0,0.00017135700000000002,0.00014435700000000001,0.00022405800000000002,,1.6056e-07,-1.5422e-07,2.2263e-07,
33.125,0.000171492,0.00014377400000000002,0.00022378600000000002,,1.7791e-07,-2.7214e-07,3.2513e-07,
33.25,0.00017151500000000001,0.00014363899999999998,0.000223718,,1.4785e-07,-2.346e-07,2.7731e-07,
33.375,0.0001718,0.00014370099999999998,0.00022397600000000003,,2.8198e-07,5.9219e-09,2.8204e-07,
33.5,0.000171853,0.000143703,0.000224018,,1.9561e-07,1.2497e-07,2.3212e-07,
33.625,0.000172179,0.000144701,0.000224909,,1.5504e-07,-2.0914e-08,1.5644e-07,
33.75,0.000172878,0.000144177,0.00022510800000000001,,2.0126e-07,-1.4178e-07,2.4618e-07,
